file_name,year,metric,range_min,range_max,scale_factor,units,path
FS_001_001y_010m_dmax.tab,001y,dmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\001y\Mapping\FS_001_001y_010m_dmax.tab
FS_001_001y_010m_dmax_contour.TAB,001y,dmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\001y\Mapping\FS_001_001y_010m_dmax_contour.TAB
FS_001_001y_010m_hmax.tab,001y,hmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\001y\Mapping\FS_001_001y_010m_hmax.tab
FS_001_001y_010m_Vmax.tab,001y,vmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\001y\Mapping\FS_001_001y_010m_Vmax.tab
FS_001_001y_010m_Z0max.tab,001y,z0max,,,,m,SwinburneData/FloodMaps\FrankstonSouth\001y\Mapping\FS_001_001y_010m_Z0max.tab
FS_001_002y_010m_dmax.tab,002y,dmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\002y\Mapping\FS_001_002y_010m_dmax.tab
FS_001_002y_010m_dmax_contour.TAB,002y,dmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\002y\Mapping\FS_001_002y_010m_dmax_contour.TAB
FS_001_002y_010m_hmax.tab,002y,hmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\002y\Mapping\FS_001_002y_010m_hmax.tab
FS_001_002y_010m_Vmax.tab,002y,vmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\002y\Mapping\FS_001_002y_010m_Vmax.tab
FS_001_002y_010m_Z0max.tab,002y,z0max,,,,m,SwinburneData/FloodMaps\FrankstonSouth\002y\Mapping\FS_001_002y_010m_Z0max.tab
FS_001_005y_010m_dmax.tab,005y,dmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\005y\Mapping\FS_001_005y_010m_dmax.tab
FS_001_005y_010m_dmax_contour.TAB,005y,dmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\005y\Mapping\FS_001_005y_010m_dmax_contour.TAB
FS_001_005y_010m_hmax.tab,005y,hmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\005y\Mapping\FS_001_005y_010m_hmax.tab
FS_001_005y_010m_Vmax.tab,005y,vmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\005y\Mapping\FS_001_005y_010m_Vmax.tab
FS_001_005y_010m_Z0max.tab,005y,z0max,,,,m,SwinburneData/FloodMaps\FrankstonSouth\005y\Mapping\FS_001_005y_010m_Z0max.tab
FS_001_010y_010m_dmax.tab,010y,dmax,,,,m,SwinburneData/FloodMaps\FrankstonSouth\010y\Mapping\FS_001_010y_010m_dmax.tab
