Duration,Duration in min,63.20%,50%,20%,10%,5%,2%,1%,station_id,lat,lon
1 min,1,1.56,1.74,2.35,2.79,3.26,3.92,4.46,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
2 min,2,2.67,2.95,3.89,4.58,5.26,6.08,6.74,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
3 min,3,3.59,3.98,5.26,6.21,7.15,8.33,9.28,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
4 min,4,4.37,4.85,6.46,7.63,8.82,10.4,11.7,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
5 min,5,5.04,5.6,7.5,8.88,10.3,12.2,13.8,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
10 min,10,7.46,8.33,11.3,13.4,15.7,19.1,21.8,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
15 min,15,9.08,10.2,13.8,16.4,19.2,23.4,26.8,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
20 min,20,10.3,11.5,15.6,18.6,21.8,26.5,30.3,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
25 min,25,11.3,12.6,17.0,20.3,23.8,28.8,32.9,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
30 min,30,12.2,13.6,18.3,21.7,25.4,30.7,35.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
45 min,45,14.2,15.8,21.0,25.0,29.0,34.7,39.4,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
1 hour,60,15.7,17.4,23.1,27.3,31.7,37.6,42.5,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
1.5 hour,90,18.1,20.0,26.3,30.9,35.6,41.9,47.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
2 hour,120,19.9,22.0,28.8,33.6,38.6,45.3,50.7,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
3 hour,180,22.8,25.1,32.7,38.0,43.5,50.8,56.7,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
4.5 hour,270,26.0,28.6,37.2,43.2,49.3,57.7,64.3,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
6 hour,360,28.4,31.4,40.9,47.5,54.1,63.5,71.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
9 hour,540,32.2,35.7,46.8,54.5,62.2,73.5,82.4,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
12 hour,720,35.1,39.1,51.6,60.2,68.9,81.8,92.1,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
18 hour,1080,39.4,44.0,58.9,69.2,79.7,95.4,108.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
24 hour,1440,42.6,47.7,64.4,76.2,88.3,106.0,120.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
30 hour,1800,45.1,50.6,68.8,81.9,95.2,115.0,130.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
36 hour,2160,47.1,53.0,72.4,86.5,101.0,122.0,138.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
48 hour,2880,50.4,56.7,77.9,93.7,110.0,132.0,150.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
72 hour,4320,55.1,61.9,85.2,103.0,121.0,145.0,165.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
96 hour,5760,58.7,65.7,89.8,108.0,127.0,152.0,172.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
120 hour,7200,61.7,68.8,92.8,111.0,131.0,156.0,175.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
144 hour,8640,64.5,71.5,95.1,112.0,132.0,157.0,177.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
168 hour,10080,67.1,74.0,96.8,113.0,132.0,158.0,177.0,depths_-38.14291_145.12825_ifds,-38.14291,145.12825
1 min,1,1.56,1.74,2.31,2.73,3.17,3.79,4.29,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
2 min,2,2.65,2.92,3.8,4.45,5.07,5.82,6.42,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
3 min,3,3.57,3.94,5.15,6.04,6.91,8.0,8.87,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
4 min,4,4.35,4.81,6.33,7.44,8.55,10.0,11.2,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
5 min,5,5.03,5.57,7.37,8.67,10.0,11.8,13.3,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
10 min,10,7.48,8.32,11.1,13.2,15.3,18.4,21.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
15 min,15,9.11,10.1,13.6,16.1,18.7,22.6,25.8,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
20 min,20,10.3,11.5,15.4,18.2,21.2,25.5,29.1,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
25 min,25,11.3,12.6,16.8,19.9,23.1,27.8,31.6,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
30 min,30,12.2,13.5,18.0,21.2,24.7,29.5,33.5,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
45 min,45,14.1,15.6,20.6,24.3,28.1,33.4,37.7,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
1 hour,60,15.6,17.3,22.7,26.6,30.7,36.2,40.7,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
1.5 hour,90,17.9,19.8,25.8,30.1,34.5,40.4,45.2,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
2 hour,120,19.7,21.7,28.2,32.8,37.5,43.8,48.8,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
3 hour,180,22.6,24.8,32.1,37.3,42.4,49.4,55.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
4.5 hour,270,25.8,28.4,36.8,42.6,48.4,56.6,63.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
6 hour,360,28.3,31.2,40.6,47.0,53.5,62.7,70.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
9 hour,540,32.2,35.7,46.8,54.4,62.1,73.4,82.2,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
12 hour,720,35.3,39.2,51.8,60.5,69.3,82.3,92.6,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
18 hour,1080,39.8,44.5,59.6,70.2,81.0,96.9,110.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
24 hour,1440,43.2,48.5,65.6,77.7,90.2,108.0,123.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
30 hour,1800,45.9,51.6,70.3,83.8,97.7,118.0,134.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
36 hour,2160,48.2,54.2,74.2,88.8,104.0,125.0,142.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
48 hour,2880,51.7,58.2,80.2,96.5,113.0,136.0,155.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
72 hour,4320,56.8,63.8,87.9,106.0,125.0,150.0,170.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
96 hour,5760,60.6,67.8,92.6,111.0,132.0,157.0,177.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
120 hour,7200,63.7,70.9,95.7,114.0,135.0,161.0,181.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
144 hour,8640,66.5,73.7,97.8,116.0,136.0,162.0,182.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
168 hour,10080,69.1,76.2,99.5,116.0,136.0,162.0,182.0,depths_-38.16430_145.12452_ifds,-38.1643,145.12452
1 min,1,1.56,1.74,2.32,2.75,3.18,3.8,4.29,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
2 min,2,2.65,2.92,3.82,4.46,5.11,5.86,6.43,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
3 min,3,3.57,3.94,5.18,6.07,6.96,8.05,8.89,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
4 min,4,4.35,4.82,6.37,7.48,8.61,10.1,11.2,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
5 min,5,5.02,5.58,7.41,8.73,10.1,11.9,13.3,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
10 min,10,7.46,8.32,11.2,13.3,15.4,18.5,21.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
15 min,15,9.08,10.1,13.6,16.2,18.8,22.7,25.8,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
20 min,20,10.3,11.5,15.4,18.3,21.3,25.6,29.1,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
25 min,25,11.3,12.6,16.8,20.0,23.2,27.8,31.6,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
30 min,30,12.1,13.5,18.0,21.3,24.8,29.6,33.5,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
45 min,45,14.1,15.7,20.8,24.5,28.3,33.5,37.7,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
1 hour,60,15.7,17.3,22.8,26.8,30.9,36.4,40.8,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
1.5 hour,90,18.1,19.9,26.0,30.4,34.8,40.7,45.4,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
2 hour,120,19.9,22.0,28.6,33.3,38.0,44.2,49.2,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
3 hour,180,22.9,25.2,32.7,37.9,43.2,50.2,55.7,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
4.5 hour,270,26.3,29.0,37.6,43.6,49.5,57.7,64.1,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
6 hour,360,29.0,32.1,41.7,48.3,54.9,64.2,71.6,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
9 hour,540,33.2,36.9,48.3,56.2,64.0,75.4,84.6,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
12 hour,720,36.5,40.6,53.6,62.6,71.6,84.9,95.6,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
18 hour,1080,41.3,46.2,61.9,72.8,84.0,100.0,114.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
24 hour,1440,44.9,50.4,68.1,80.7,93.6,113.0,128.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
30 hour,1800,47.8,53.6,73.0,87.0,101.0,122.0,139.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
36 hour,2160,50.1,56.3,77.0,92.2,108.0,130.0,148.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
48 hour,2880,53.8,60.5,83.2,100.0,118.0,142.0,162.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
72 hour,4320,59.2,66.4,91.2,110.0,130.0,156.0,177.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
96 hour,5760,63.2,70.7,96.3,116.0,137.0,163.0,184.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
120 hour,7200,66.7,74.2,99.9,119.0,140.0,167.0,188.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
144 hour,8640,70.0,77.5,103.0,121.0,142.0,168.0,189.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
168 hour,10080,73.1,80.6,105.0,123.0,142.0,168.0,189.0,depths_-38.16532_145.15218_ifds,-38.16532,145.15218
1 min,1,1.55,1.73,2.31,2.73,3.16,3.76,4.25,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
2 min,2,2.64,2.91,3.81,4.45,5.1,5.81,6.38,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
3 min,3,3.56,3.93,5.16,6.04,6.93,7.98,8.82,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
4 min,4,4.33,4.8,6.34,7.44,8.57,9.98,11.1,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
5 min,5,5.0,5.56,7.37,8.68,10.0,11.8,13.2,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
10 min,10,7.41,8.27,11.1,13.2,15.3,18.3,20.8,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
15 min,15,9.02,10.1,13.5,16.1,18.7,22.5,25.6,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
20 min,20,10.2,11.4,15.3,18.2,21.1,25.4,28.9,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
25 min,25,11.2,12.5,16.7,19.8,23.0,27.6,31.3,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
30 min,30,12.1,13.4,17.9,21.2,24.6,29.4,33.2,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
45 min,45,14.1,15.6,20.7,24.3,28.1,33.3,37.4,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
1 hour,60,15.6,17.3,22.7,26.7,30.7,36.1,40.4,depths_-38.18940_145.17601_ifds,-38.1894,145.17601
