Duration,Duration in min,63.20%,50%,20%,10%,5%,2%,1%
1 min,1,1.55,1.73,2.31,2.73,3.16,3.76,4.25
2 min,2,2.64,2.91,3.81,4.45,5.1,5.81,6.38
3 min,3,3.56,3.93,5.16,6.04,6.93,7.98,8.82
4 min,4,4.33,4.8,6.34,7.44,8.57,9.98,11.1
5 min,5,5,5.56,7.37,8.68,10,11.8,13.2
10 min,10,7.41,8.27,11.1,13.2,15.3,18.3,20.8
15 min,15,9.02,10.1,13.5,16.1,18.7,22.5,25.6
20 min,20,10.2,11.4,15.3,18.2,21.1,25.4,28.9
25 min,25,11.2,12.5,16.7,19.8,23,27.6,31.3
30 min,30,12.1,13.4,17.9,21.2,24.6,29.4,33.2
45 min,45,14.1,15.6,20.7,24.3,28.1,33.3,37.4
1 hour,60,15.6,17.3,22.7,26.7,30.7,36.1,40.4
1.5 hour,90,18,19.8,25.9,30.2,34.6,40.4,44.9
2 hour,120,19.9,21.9,28.4,33.1,37.7,43.8,48.7
3 hour,180,22.8,25.1,32.5,37.7,42.8,49.7,55.1
4.5 hour,270,26.2,28.8,37.4,43.2,49,57,63.3
6 hour,360,28.8,31.8,41.3,47.8,54.3,63.4,70.6
9 hour,540,32.9,36.4,47.7,55.4,63.1,74.3,83.2
12 hour,720,36,40,52.8,61.6,70.4,83.6,94
18 hour,1080,40.7,45.4,60.7,71.4,82.3,98.5,111
24 hour,1440,44.1,49.4,66.6,79,91.6,110,125
30 hour,1800,46.8,52.5,71.3,85,99.1,120,136
36 hour,2160,49,55,75.1,89.9,105,127,145
48 hour,2880,52.6,59,81,97.5,115,139,158
72 hour,4320,57.8,64.7,88.7,107,127,152,173
96 hour,5760,61.8,68.9,93.7,113,133,159,180
120 hour,7200,65.3,72.5,97.4,116,136,162,183
144 hour,8640,68.5,75.8,100,118,137,164,184
168 hour,10080,71.7,79,103,120,138,164,185
